Code,Title,Description,Related Job Titles,Tasks
343,Sports and fitness occupations,"Workers in this minor group prepare for and compete in sporting events for financial gain, train amateur and professional sportsmen and women to enhance performance, promote participation and standards in sport, organise and officiate at sporting events, and provide instruction, training and supervision for various forms of exercise and other recreational activities."
351,Transport associate professionals,"Workers in this minor group command and navigate aircraft and vessels, perform technical functions to operate and maintain such craft, and plan and regulate the ground and air movements of aircraft."
352,Legal associate professionals,Legal associate professionals organise the administrative work of legal practices and perform specialised legal duties.
353,Finance associate professionals,"Finance associate professionals underwrite insurance policies and assess liability regarding claims, deal in commodities and financial assets, and assist accounting and financial professionals in managing an organisation�s financial affairs and its accounts."
354,Business associate professionals,"Business associate professionals calculate the probable costs of projects, assess the value of properties, advise clients on financial and accounting matters, import and export goods, organise, plan, monitor and direct projects, gather, analyse and communicate their findings on different types of data, and advise on the effectiveness of an organisation�s procedures, systems and methods."
355,"Sales, marketing and related associate professionals","Sales, marketing and related associate professionals purchase raw materials, equipment and merchandise, provide technical sales advice to customers, undertake market research, support the implementation of the organisation�s marketing and sales policies, decide on pricing and promotions and arrange for the trading and leasing of property on behalf of clients."
356,Public services associate professionals,"Public services associate professionals supervise, manage and undertake general administrative functions in national and local government."
357,"Hr, training and other vocational associate guidance professionals","Job holders in this unit group advise upon and undertake recruitment, staff appraisal and industrial relations activities, give advice regarding careers, training and related opportunities, and provide information technology and other vocational and industrial training."
358,Regulatory associate professionals,"Job holders in this unit group undertake inspections and investigations to ensure statutory compliance, implement health and safety measures within establishments and organisations, and undertake inspections to ensure compliance with environmental health regulations."
411,Administrative occupations: government and related organisations,Workers in this minor group undertake a variety of administrative and clerical work in government departments and related non-governmental organisations.
412,Administrative occupations: finance,"Workers in this minor group perform administrative and other tasks in relation to credit control and debt collection, the maintenance of financial records within firms, financial transactions made with customers and the collection of payments from businesses and households."
413,Administrative occupations: records,"Workers in this minor group create, maintain, update and file correspondence, data, documents and information held both in hard copy and electronically for storage, reference purposes and despatch."
414,Administrative occupations: office managers and supervisors,"Workers in this minor group coordinate the day-to-day running of offices providing the administrative services of commercial, industrial and other non-governmental organisations and public agencies, and supervise the staff within those offices."
415,Other administrative occupations,"Workers in this minor group perform a variety of general, data entry and sales-related administrative tasks."
421,Secretarial and related occupations,"Workers in this minor group provide dictation services, type, edit and print documents, perform general clerical and organisational duties in support of management or other workers, and receive and direct clients and visitors to commercial, government and other establishments."
511,Agricultural and related trades,"Those working in agricultural and related trades occupations cultivate crops and raise animals for consumption, grow plants, trees, shrubs and flowers for sale, tend private and public gardens, parks, sports pitches and other recreational areas, and perform a variety of other skilled occupations related to agriculture and fishing."
521,"Metal forming, welding and related trades","Metal forming, welding and related trades workers shape, cast, finish and join metal, and erect, install, maintain and repair metal structures and fixtures."
522,"Metal machining, fitting and instrument making trades","Metal machining, fitting and instrument making trades workers mark out metal for machine tool working, set up and operate lathes, boring, drilling, grinding, milling machines and presses, assemble and repair machine tools, install and repair plant and industrial machinery, fit and assemble parts and sub-assemblies in the manufacture of metal products, make, calibrate, test and repair precision and optical instruments, and install and repair air-conditioning and refrigeration systems."
523,Vehicle trades,"Vehicle trades workers repair, service and maintain the bodies, engines, parts, sub-assemblies, internal trimmings, upholstery and exterior surfaces of vehicles."
524,Electrical and electronic trades,"Workers in electrical and electronic trades install wiring in road and rail vehicles and aircraft and assemble, install, maintain, test and repair electrical and electronic equipment, components and systems concerned with lighting, signalling, telecoms, radio and television and other commercial, industrial and domestic functions."
525,"Skilled metal, electrical and electronic trades supervisors","Jobholders in this minor group supervise and control technical and operational aspects of metal forming, welding and relate, metal machining, fitting and instrument making, vehicles trades and electrical and electronic trades."
531,Construction and building trades,"Jobholders within construction and building trades erect and fit metal framework for building construction, cut, shape and lay stone, brick and similar materials, cover roofs and exterior walls, install, maintain and repair plumbing, heating and ventilating systems, construct and install wooden frameworks and fittings, fit glass into windows and doors, and perform other miscellaneous construction tasks."
532,Building finishing trades,"Workers in this minor group apply plaster and cement mixtures to walls and ceilings, lay flooring covers and apply paint, varnish, wallpaper, tiles and other protective and decorative materials to walls and ceilings."
533,Construction and building trades supervisors,Workers in this minor group supervise and control technical and operational aspects of Construction and Building; and Building Finishing Trades.
541,Textiles and garments trades,"Workers within textiles and garments trades weave fabrics into fibre and carpet, knit garments from yarn, upholster the seating and interior of vehicles and planes, make soft furnishings, make, repair and finish leather goods, and make, fit and alter tailored articles of clothing."
542,Printing trades,"Printing trades workers compose and set type and printing blocks, produce printing plates, cylinders and film, operate printing machines and bind the finished printed product."
543,Food preparation and hospitality trades,"Workers in food preparation and hospitality trades slaughter livestock, cut, trim and prepare meat, poultry and fish, prepare, bake and finish bread and flour confectionery products, prepare food in hotels, restaurants and other establishments, and manage the catering and bar facilities in factories, shops, theatres, educational premises and similar establishments."
544,Other skilled trades,Workers in this unit group perform a variety of other skilled craft and related trades.
611,Teaching and childcare support occupations,"Workers in childcare and related personal services supervise play and other activities for pre-school age children, assist teachers and care for children in day or residential nurseries, children�s homes and private households."
612,Animal care and control services,"Workers in this minor group carry out pest control services, care for animals in stables, kennels, zoos and other such establishments, provide specialised grooming and clipping services for animals and capture stray or unruly dogs."
613,Caring personal services,"Those working in caring personal services occupations transport patients by ambulance, stretcher, wheelchair or other means and assist health professionals with the care of patients in hospitals, dental surgeries, nursing homes, residential homes, clinics, day care services and within the home."
621,Leisure and travel services,"Those working in occupations in this minor group organise and maintain services and equipment necessary for sporting and recreational activities, advise upon and make travel arrangements for customers and provide services to enhance the enjoyment, comfort and safety of holidaymakers and air, rail, and sea passengers."
622,Hairdressers and related services,"Jobholders in this unit group cut, style and treat hair, apply cosmetics and give facial and body beauty treatments."
623,Housekeeping and related services,"Housekeeping and related services workers co-ordinate and undertake domestic tasks in private households, hotels, schools, hostels and other residential establishments, take care of schools, churches, offices, flats and other buildings."
624,Cleaning and housekeeping managers and supervisors,"Cleaning and housekeeping managers and supervisors manage and co-ordinate the cleaning and housekeeping activities in private households, hotels, schools, hostels and other residential establishments, in offices and other premises, and directly supervise the staff undertaking those tasks."
625,Bed and breakfast and guest house owners and proprietors,"Bed and breakfast and guest house owners and proprietors plan, organise and direct the activities of bed and breakfasts and guest houses."
631,Community and civil enforcement occupations,Workers in Community and Civil Enforcement Occupations assist the local police in patrolling the streets and tackling a range of crime and disorder problems and enforce parking regulations.
711,Sales assistants and retail cashiers,"Sales assistants and retail cashiers sell goods and services in retail or wholesale establishments, accept payments, give change and arrange finance as appropriate in respect of sales obtain, receive and record telephone orders for goods and services."
712,Sales related occupations,"Job holders in this minor group visit private households to obtain orders and collect payments, deliver and sell food, drink and other goods in streets and open spaces from portable containers, stalls and vans, collect and deliver laundered and similarly serviced articles, replenish and display stocks of merchandise, and undertake a variety of sales occupations not elsewhere classified."
713,Shopkeepers and sales supervisors,"Job holders in this minor group co-ordinate, direct and undertake the activities involved in the running of small, independent retail and wholesale establishments and supervise the activities of sales and related workers."
721,Customer service occupations,"Workers in this minor group receive and respond to telephone and other enquiries regarding the products and services offered by an organisation, deal with customer complaints, and provide further services to customers after the point of sale."
722,Customer service supervisors,"Customer service supervisors plan, organise and coordinate resources and supervise the staff involved in handling the requests, complaints and further needs of customers."
811,Process operatives,"Process operatives set, operate and attend machinery to bake, freeze, heat, crush, mix, blend and otherwise process foodstuffs, beverages and tobacco leaves, prepare natural and synthetic fibres for processing, spin and twist fibre into yarn, thread, twine, rope and other similar material, prepare colouring matter required for printing or dyeing fabrics, and produce or otherwise treat chemical, glass, ceramics, rubber, plastic, metal, synthetic and other products."
812,Metal working machine operatives,"Workers in this minor group operate machines to cut, shape, abrade and otherwise machine metal use hand and power tools to remove surplus metal and rough surfaces from castings, forgings or other metal parts, and clean, smooth and polish metal workpieces."
813,Plant and machine operatives,"Workers in this minor group operate plant and machinery to produce paper, wood and related products, operate drilling and excavating equipment to extract coal and other minerals, attend and operate boilers, compressors, turbines, electrical substations and other power generation equipment, operate machinery to cut, shape and finish metal, operate and attend water purifying, sedimentation and sewerage systems, and perform other miscellaneous operative tasks."
814,Assemblers and routine operatives,"Assemblers and routine operatives perform routine tasks in the wiring of electrical and electronic equipment, assembly of prepared parts in the manufacture of vehicles, metal and other goods, inspect, test, sort, weigh and grade products, parts and materials, fit and repair tyres, exhausts and windscreens on motor vehicles, sew and embroider garments, and perform a variety of other routine assembly operations not elsewhere classified."
815,Construction operatives,"Construction operatives erect and dismantle scaffolding and working platforms, maintain tall structures, construct and maintain public highways and railway tracks, lay and repair underground piping systems, and perform a variety of tasks in relation to the construction, maintenance, repair and demolition of buildings."
816,"Production, factory and assembly supervisors","Supervisors in this unit group oversee operations and directly supervise and coordinate the activities of workers involved in the production, manufacture and assembly of goods."
821,Road transport drivers,"Road transport drivers collect, transport and deliver goods in Large Goods Vehicles (LGVs), other lorries and vans, drive road passenger carrying vehicles, and instruct people learning to drive cars and light commercial vehicles."
822,Mobile machine drivers and operatives,"Workers in this minor group drive and operate earth moving and surfacing equipment, cranes, power driven hoisting machinery, fork-lift trucks, tractor driven and other agricultural machinery, and operate other mobile machines not elsewhere classified."
823,Other drivers and transport operatives,"Other drivers and transport operatives drive trains and trams, assist train drivers in the operation of passenger and goods trains, guide the movement of rail coaches in coal mines, sidings and marshalling yards, control the movement of rail traffic, monitor and inspect the operations of railways, perform deck duties and operate engines, boilers and mechanical equipment on board ships, assist in the boarding, fuelling, and movement of aircraft at airports, and perform other transport related tasks not elsewhere classified."
911,Elementary agricultural occupations,"Job holders in this minor group cultivate and harvest crops, breed and rear animals, catch and breed fish and other aquatic life and perform forestry and related tasks."
912,Elementary construction occupations,"Workers in this minor group assist the work of woodworking and building trades workers, electricians, plumbers, and painters and perform a variety of general labouring and construction tasks."
913,Elementary process plant occupations,"Workers in this minor group clean metal goods, machinery and industrial premises, operate printing machines and reprographic equipment, wrap, fill, label and seal containers by hand or machine and perform a variety of manual tasks in foundry, engineering and allied trades."
921,Elementary administration occupations,"Workers in this minor group collect, receive, sort and deliver mail, documents, correspondence or messages and perform a variety of elementary clerical tasks within offices."
922,Elementary cleaning occupations,"Workers in this minor group clean windows, chimneys, roads and interiors of buildings, wash, dry and press household linen, clean carpets, curtains and similar articles, collect refuse from business and private premises, clean vehicles inside and out, and perform other elementary cleaning tasks not elsewhere classified."
923,Elementary security occupations,"Workers in this minor group protect individuals or property from injury, theft or damage, patrol areas to detect and prevent parking infringements, assist children in crossing roads, supervise the activities of school children during break and meal times, control the parking of vehicles in car parks, and perform other elementary security tasks not elsewhere classified."
924,Elementary sales occupations,"Workers in this minor group remove and replace posters from hoardings, bill boards and other advertising spaces, replenish stocks of goods in retail establishments, collect and issue shopping trolleys and baskets, and perform other elementary sales related tasks."
925,Elementary storage occupations,"Workers in this minor group load and unload cargo from ships, boats and barges, supply berthed ships with water, oil and fuel, load, unload and convey furniture, goods and other equipment in and around warehouses, depots and similar establishments, and accompany motor vehicle and other road vehicle drivers."
926,Other elementary services occupations,"Workers in this minor group perform manual tasks to assist nursing and domestic staff in hospitals, perform a variety of cleaning, preparation, carrying and fetching tasks in kitchens, serve food, beverages and alcoholic drinks in catering, domestic and other establishments, assist in the operation of cinemas, theatres, amusement arcades, funfairs, theme parks and holiday camps, and perform other elementary personal service occupations not elsewhere classified."
