Code,Title,Description,Related Job Titles,Tasks
1161,Officers in armed forces,"Officers in armed forces serve as commissioned officers in Her Majesty�s armed forces, foreign and Commonwealth armed forces plan, direct, organise and administer military operations; and perform duties for which there is no civilian equivalent.","- Army officer
- Commander (armed forces)
- Flight-lieutenant
- Royal Navy officer
- Squadron-leader","- advises and provides information on military aspects of defence policy
- plans, directs and co-ordinates military training and manoeuvres
- supervises the operation of military units and monitors the activities of junior officers, NCOs and other ranks
- plans, directs and administers aid to civilian authorities as requested or when faced with civil disorder, natural disaster or other emergency"
1162,Senior police officers,"Senior police officers plan, organise, direct and co-ordinate the resources and activities of a specific geographical or functional area of generalised or specialised police work. Senior officers of the British Transport Police direct the specialised police service for the railway network across Britain.","- Chief superintendent (police service)
- CID officer
- Detective inspector
- Police inspector","- liaises with senior officers to determine staff, financial and other short- and long-term needs
- plans, directs and co-ordinates general policing for an area or functional unit
- directs and monitors the work of subordinate officers
- establishes contacts and sources of information concerning crimes planned or committed
- directs and co-ordinates the operation of record keeping systems and the preparation of reports"
1163,"Senior officers in fire, ambulance, prison and related services","Fire officers plan, organise, direct and co-ordinate the activities and resources of a specific physical or functional area of a statutory or private fire brigade/service and the resources necessary for the protection of property at fires within a salvage corps area. Ambulance officers plan, organise, direct and co-ordinate the resources necessary for the provision of ambulance services. Prison officers (principal officer and above) plan, organise, direct, and co-ordinate the activities and resources necessary for the running of a prison, remand or detention centre. Customs officers plan and direct the work of customs, excise and immigration staff in the monitoring and inspection of goods and persons crossing national borders.","- Chief immigration officer (HM Revenue and Customs)
- Fire service officer (government)
- Prison governor
- Station officer (ambulance service)","- liaises with other senior officials and/or government departments to determine staffing, financial and other short- and long-term needs
- prepares reports for insurance companies, the Home Office, Scottish Home and Health Department, and other bodies as necessary
- advises on the recruitment, training and monitoring of staff
- fire officers plan, direct and co-ordinate an operational plan for one or more fire stations, attend fires and other emergencies to minimise danger to property and people, arrange for the salvaging of goods, immediate temporary repairs and security measures for fire damaged premises as necessary
- ambulance officers plan, organise, direct and co-ordinate the activities of ambulance personnel and control room assistants, for the provision of ambulance services for emergency and non-emergency cases
- prison officers interview prisoners on arrival and discharge/departure, receive reports on disciplinary problems and decide on appropriate action, make periodic checks on internal and external security, and provide care and support to prisoners in custody
- revenue and customs, excise and immigration officers advise on the interpretation of regulations concerning taxes, duties and immigration requirements and enforce these regulations through monitoring of premises, examining goods entering the country to ensure correct duty is paid and establishing that passengers have the necessary authorisation for crossing national borders"
1171,Health services and public health managers and directors,"Managers and directors in this unit group plan, organise, direct and co-ordinate the resources and activities of health care providers and purchasers at both district and unit levels.","- Clinical manager
- Director of nursing
- Health service manager
- Information manager (health authority: hospital service)","- implements policies of the board, ensures statutory procedures are followed, with particular emphasis on patient safety and the management of risk
- liaises with health care professionals to determine short and long-term needs and how to meet these objectives within budgetary constraints
- oversees the day-to-day management of the unit or service and provides leadership to staff
- uses statistical information to monitor performance and assist with planning
- negotiates and manages contracts with providers and purchasers of health care services
- manages staff, including recruitment, appraisal and development
- monitors and reports upon the effectiveness of services with�a view to improving the efficiency of health care provision
- coordinates the promotion of public health and wellbeing in the actions and policies of public agencies and their social partners
- monitors and reports upon the state of public health and wellbeing"
1172,Social services managers and directors,"Social services managers and directors plan, organise, direct and�co-ordinate the resources and commission the services necessary to protect the welfare of certain groups within local authorities including children and�young people, families under stress, people with disabilities,�elderly people and people needing help as a result of illness.","- Children's centre manager
- Commissioner (local government: social services)
- Community services manager
- Service manager (welfare services)
- Social work manager","- provides leadership and management to ensure services are delivered in accordance with statutory requirements and in line with the local authority social services department's policies and procedures
- determines staffing, financial, material and other short and long-term needs
- plans work schedules, assigns tasks and delegates responsibilities of social services staff
- monitors and evaluates departmental performance with a view to improving social service provision
- studies and advises upon changes in legislation that will impact upon social service provision
- liaises with representatives of other relevant agencies"
1211,Managers and proprietors in agriculture and horticulture,"Managers and proprietors in this unit group plan, organise and co-ordinate the activities and resources of farming and mixed farming establishments cultivating arable crops, fruits, trees and shrubs, and/or raising cattle, sheep, pigs and poultry. Managers and proprietors in horticulture oversee the production of plants for wholesale and/or retail.","- Farm manager
- Farm owner
- Nursery manager (horticulture)
- Stock manager (farming)","- determines financial, staffing and other short and long-term needs
- produces and maintains records of production, finance and breeding
- decides or advises on the types of crops and/or produce to be grown or livestock raised
- plans intensity and sequence of farm or horticultural operations and orders seed, fertiliser, equipment and other supplies
- markets and arranges for the sale of crops, livestock and other farm or horticultural produce"
1212,"Managers and proprietors in forestry, fishing and related services","Managers and proprietors in this unit group plan, organise and co-ordinate the activities and resources of forestry, fishing, animal husbandry and related operations and establishments.","- Farm manager
- Farm owner
- Nursery manager (horticulture)
- Stock manager (farming)","- determines financial, staffing and other short- and long-term needs
- manages and trains staff
- decides, or advises on, type of animal to be bred and/or trained, and selects, buys and trains animals accordingly
- plans and directs the establishment and maintenance of forest /woodland areas and regularly inspects forest work
- liaises with neighbouring landowners, contractors and local authorities
- oversees facilities such as visitor centres, nature trails, footpaths, etc.
- selects suitable breeding grounds for shellfish, sea and freshwater fish and purchases stock
- arranges rearing and feeding and ensures health of fish stocks
- oversees maintenance of equipment and fish habitats
- plans fishing voyages, maintains vessel/s and equipment and oversees operational safety
- arranges for sale of catch, liaises with onshore agents
- ensures observance of maritime laws and international fishing regulations"
1221,Hotel and accommodation managers and proprietors,"Job holders in this unit group plan, organise, direct and co-ordinate the activities and resources of halls of residence, hotels, hostels, caravan sites, holiday camps, holiday flats and chalets, and organise the domestic, catering, and entertainment facilities on passenger ships.","- Caravan park owner
- Hotel manager
- Manager (passenger ships)
- Service flats manager","- analyses demand and decides on type, standard and cost of services to be offered
- determines financial, staffing, material and other short- and long-term needs
- ensures physical comfort of residents or passengers and makes special arrangements for children, the elderly and the infirm if required
- approves and arranges shipboard entertainment and shore trips and liaises with ship's agent to ensure that ship is adequately provisioned
- arranges for payment of bills, keeps accounts and ensures adherence to licensing and other statutory regulations"
1222,Restaurant and catering establishment managers and proprietors,"Restaurant and catering establishment managers and proprietors plan, direct and co-ordinate the catering services of restaurants, hotels and large-scale catering services within other organisations.","- Caf� owner
- Operations manager (catering)
- Restaurant manager
- Shop manager (take-away food shop)","- plans catering services and directs staff
- decides on range and quality of meals and beverages to be provided
- discusses customer's requirements for special occasions
- purchases or directs the purchasing of supplies and arranges for preparation of accounts
- verifies that quality of food, beverages and waiting service is as required, that kitchen and dining areas are kept clean and appropriate hygiene standards are maintained in compliance with statutory requirements
- plans and arranges food preparation in collaboration with other staff and organises the provision of waiting or counter staff
- checks that supplies are properly used and accounted for to prevent wastage and loss and to keep within budget limit
- determines staffing, financial, material and other short- and long-term requirements"
1223,Publicans and managers of licensed premises,"Publicans and managers of licensed premises organise, direct and co-ordinate the activities and resources of public houses (non-residential and residential) and bar and catering facilities at non-residential clubs.","- Landlady (public house)
- Licensee
- Manager (wine bar)
- Publican","- arranges purchase of alcoholic and other beverages, bar snacks, cigarettes and other items and ensures that stocks are stored in proper conditions
- supervises bar, kitchen and cleaning staff and, if necessary, assists with the serving of drinks
- observes licensing laws and other statutory regulations and regulates behaviour of customers as necessary
- maintains financial records for the establishment determines financial, staffing, material and other short- and long-term needs"
1224,Leisure and sports managers,"Leisure and sports managers organise, direct and co-ordinate the activities and resources required for the provision of sporting, artistic, theatrical and other recreational and amenity services.","- Amusement arcade owner
- Cinema manager
- Football ground manager
- Leisure centre manager
- Theatre manager","- organises timetable of activities/schedule of programmes
- ensures that facilities are kept clean and in good condition and that appropriate health and safety requirements are adhered to
- keeps abreast of new trends and developments in recreational activities and arranges exhibitions, theatrical productions, concerts, demonstrations, etc
- advises on the facilities available and promotes publicity in relation to shows, games, races, new theme parks, etc
- determines financial, staffing, material and other short and long-term needs
- recruits, supervises and trains staff
- ensures custody of all cash receipts and organises regular stock checks"
1225,Travel agency managers and proprietors,"Travel agency managers and proprietors plan, organise, direct and co-ordinate the resources and activities of travel agencies and booking offices.","- Branch manager (travel agents)
- Tourist information manager
- Travel agency owner
- Travel manager","- plans work schedules and assigns tasks and responsibilities
- co-ordinates the activities of clerical, secretarial and other staff
- discusses client's requirements and advises on road, rail, air and sea travel and accommodation
- makes and confirms travel and accommodation bookings, arranges group holidays, tours and individual itineraries
- advises on currency and passport/visa regulations and any necessary health precautions needed
- determines financial, staffing, material and other short- and long-term needs"
1231,Health care practice managers,"Healthcare practice managers plan, organise, direct and co-ordinate the work and resources of medical, dental and other types of healthcare practice, including veterinary practices.","- Clinic manager
- Dental practice manager
- GP practice manager
- Patient services manager
- Veterinary practice manager","- plans work schedules, assigns tasks and delegates responsibilities of practice staff
- oversees staff training and monitors training needs
- takes responsibility for health and safety matters within the practice
- negotiates contracts for services with other health care providers and purchasers
- maintains patient files on medical history, consultations and treatment undertaken and/or drugs prescribed
- organises duty rosters for professional and support staff in practice
- takes responsibility for stock control of practice equipment, drugs, etc
- liaises with relevant outside organisations (e.g. NHS trust, PCT, social services, drug companies, professional bodies)
- responsible for budgeting, pricing and accounting activities within the practice"
1232,"Residential, day and domiciliary care managers and proprietors","Managers and proprietors in this group plan, organise, direct and co-ordinate the resources necessary in the provision and running of residential and day care establishments and domiciliary care services for persons who require specialised care and/or supervision.","- Care manager
- Community centre manager
- Day centre manager
- Nursing home owner
- Residential manager (care/residential home)","- determines staffing, financial, material and other short- and long-term requirements
- plans work schedules, assigns tasks and delegates responsibilities to staff
- arranges for payment of bills, keeps accounts and adheres to health, safety and other statutory requirements
- maintains contact between service users and the local community and/or family and friends
- assesses service users' needs and ensures they have access to health and social care services as required
- creates a friendly, secure atmosphere to gain the trust and confidence of those using the service
- ensures that the physical comfort and all material needs of service users are provided and attempts to resolve problems that may arise"
1233,Early education and childcare services proprietors,"Early childhood and childcare services proprietors plan, organise, direct and co-ordinate the activities and resources of residential or day nurseries, play groups, and similar establishments.","- Director (children's nursery)
- Owner (nursery: children's)","- determines staffing, financial, material and other short- and long-term requirements
- plans work schedules, assigns tasks and delegates responsibilities of staff
- oversees the learning of young children and ensures that Early Years Foundation Stage and OFSTED standards are met
- provides leadership and management to staff to ensure services are delivered to a high quality
- develops relationships with children's parents and other educational establishments
- ensures the facilities are well maintained and that health and safety standards and other relevant regulations are met"
1241,Managers in transport and distribution,"Managers in transport and distribution plan, organise, and co-ordinate the activities and resources necessary for the safe, efficient and economic movement of passengers and freight by road, rail, sea and air transport.","- Distribution service manager
- Fleet manager
- Operations manager (transport)
- Shipping manager
- Transport manager","- plans the optimum utilisation of staff and operating equipment, and co-ordinates maintenance activities to ensure least possible disruption to services
- co-ordinates the transportation of passengers, the movement, handling and storage of freight in transit, and reviews space utilisation, staffing and distribution expenditure to determine future distribution policies
- ensures that regulations regarding hours of work, the licensing of crews and transport equipment, the operational safety and efficiency of equipment, the insurance of vehicles and other statutory regulations are complied with
- ensures that harbour channels and berths are maintained and liaises with ship owners, crew, customs officials, dock and harbour staff to arrange entry, berthing and servicing of ships
- supervises day-to-day activities in a railway station
- arranges for maintenance of airport runways and buildings, liaises with fuel and catering crews to ensure adequate supplies and resolves any complaints and problems raised by airport users"
1242,Managers in storage and warehousing,"Managers in storage and warehousing plan, organise, and co-ordinate the activities and resources necessary for the safe and efficient receipt, storage and warehousing of goods and for the maintenance of stocks at an optimal level.","- Cellar manager (brewery)
- Inventory manager
- Operations manager
- Stock manager
- Warehouse manager","- liaises with production, maintenance, sales and other departments to determine the materials and other items required for current and future production schedules and sales commitments
- reviews, develops and implements stock control, handling and distribution policies to maximise use of space, money, labour and other resources
- advises purchasing department on type, quality and quantity of goods required and dates by which they must be available
- prepares reports on expenditure and advises on materials and parts standardisation, future stores and stock control policies
- decides on storage conditions for particular items, allocates warehouse space and arranges for regular stock inspections to detect deterioration or damage"
1243,Managers in logistics,"Managers in logistics plan, co-ordinate and organise the supply chain of goods and services between the point of production and consumption, including their efficient transportation, storage and retailing.","- Logistics manager
- Supply chain manager","- management and planning of supply chains from source to the point of consumption to ensure goods get from suppliers to distribution centres as efficiently as possible
- co-ordinates the transportation and storage of goods
- monitors the distribution of goods and stock levels to ensure the organisation's needs are met and reports on overall performance
- advises purchasing department on type, quality and quantity of goods required and dates by which they must be available and negotiates contracts with suppliers
- ensures that regulations regarding hours of work, the licensing of crews and transport equipment, the operational safety and efficiency of equipment, the insurance of vehicles and other statutory regulations are complied with"
1251,"Property, housing and estate managers","Job holders within this unit group manage shopping centres, residential areas, offices and private estates, arrange for the sale, purchase, rental and leasing of property on behalf of clients and employers, and provide facilities management services for businesses","- Estate manager
- Facilities manager
- Housing manager
- Landlord (property management)
- Property manager","- determines staffing, financial, material and other short- and long-term requirements
- manages general upkeep, maintenance and security of the estate's amenities
- makes sure that the amenities meet health and safety standards and legal requirements
- oversees the support services of a business, such as catering, IT, utilities and physical environment
- advises on energy efficiency
- discusses client's requirements and may advise client on the purchase of property and land for investment and other purposes
- conducts or arranges for structural surveys of properties and undertakes any necessary valuations of property or agricultural land, and deals with grant and subsidy applications
- negotiates land or property purchases and sales or leases and tenancy agreements and arranges legal formalities with solicitors, building societies and other parties
- maintains or arranges for the maintenance of estate accounts and records and produces financial forecasts
- acts as arbiter in disputes between landlord and tenant and ensures that both fulfil their legal obligations
- examines and assesses housing applications, advises on rent levels, investigates complaints and liaises with tenants' association and social workers to resolve any family problems"
1252,Garage managers and proprietors,"Garage managers and proprietors plan, organise, direct and co-ordinate the day-to-day running of garages and specialist vehicle maintenance and repair establishments.","- Bodyshop manager (vehicle trades)
- Garage director
- Garage owner
- Tyre depot manager","- determines staffing, financial, material and other short- and long-term requirements
- ensures that necessary spare parts, materials and equipment are available or obtainable at short notice
- arranges for maintenance staff to perform necessary maintenance and repair work on vehicles or motorcycles
- checks completed work for compliance with safety and other statutory regulations
- maintains records of repair work to detect recurrent faults
- provides information about garage merchandise for staff and customers
- ensures the business accounts are maintained"
1253,Hairdressing and beauty salon managers and proprietors,"Job holders in this unit group plan, organise, direct and co-ordinate the activities and resources of hairdressing salons, beauty treatment and similar establishments.","- Hairdressing salon owner
- Manager (beauty salon)
- Owner (tanning studio)
- Spa manager","- determines staffing, financial, material and other short- and long-term needs
- controls the allocation, training and remuneration of staff
- provides clients with information and advice on styles and treatments, and resolves any complaints or problems
- ensures clients' records are maintained
- undertakes and/or directs hair treatments and/or beauty therapy
- checks and maintains any equipment, and ensures that all safety requirements are met
- demonstrates, advises on and sells hair and/or beauty products
- ensures financial accounts for the business are maintained"
1254,Waste disposal and environmental services managers,"Waste disposal and environmental services managers plan, organise, direct and co-ordinate the operations and development of waste disposal and related environmental services facilities within private firms or public authorities.","- Environmental manager (refuse disposal)
- Manager (local government: cleansing dept.)
- Recycling plant manager
- Scrap metal dealer","- determines staffing, financial, material and other short- and long-term requirements
- manages and delegates tasks to staff and co-ordinates the maintenance and optimum utilisation of waste disposal and related equipment to provide an efficient service
- monitors levels of waste disposal, recycling and related environmental services, compiles statistics and produces reports
- liaises with members of the local community to educate and promote the concept of recycling and appropriate waste management
- keeps up to date with new legislation and liaises with appropriate regulatory bodies to ensure compliance with legislation regarding waste disposal and environmental services
- co-ordinates the resources and activities relating to the procurement, collection, storage, processing and sale of scrap metal and related products"
1255,Managers and directors in the creative industries,"Managers and directors in creative industries plan, organise, direct and co-ordinate the activities and resources of organisations in sectors such as arts, publishing, music, media, design and architecture.","- Art gallery owner
- Artist manager
- Director (architectural service)
- Graphic design manager
- Gallery Manager
- Production manager (entertainment)
- Publisher
- Radio station manager","- plans, organises, directs and co-ordinates the activities and resources of organisations in the creative industries, such as publishing firms, art galleries and television companies
- liaises with clients, generates new business and promotes their organisation by attending and organising conferences, exhibits and other events
- helps set the creative direction of their organisation and finds new talent, such as artists, writers and musicians, as well as pieces such as artworks, scripts and music
- keeps up to date with new releases, publications and trends in relevant fields
- establishes client's requirements and oversees the conception and development of multiple projects
- reviews and revises creative teams' work across multiple projects
- determines staffing, material, financial, and other short- and long-term needs"
