Group,Code,Title,Description
Broad,51-9050,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",
Broad,51-9060,"Inspectors, Testers, Sorters, Samplers, and Weighers",
Broad,51-9070,Jewelers and Precious Stone and Metal Workers,
Broad,51-9080,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,
Broad,51-9110,Packaging and Filling Machine Operators and Tenders,
Broad,51-9120,Painting Workers,
Broad,51-9140,Semiconductor Processing Technicians,
Broad,51-9150,Photographic Process Workers and Processing Machine Operators,
Broad,51-9160,Computer Numerically Controlled Tool Operators and Programmers,
Broad,51-9190,Miscellaneous Production Workers,
Broad,53-1040,First-Line Supervisors of Transportation and Material Moving Workers,
Broad,53-2010,Aircraft Pilots and Flight Engineers,
Broad,53-2020,Air Traffic Controllers and Airfield Operations Specialists,
Broad,53-2030,Flight Attendants,
Broad,53-3010,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",
Broad,53-3030,Driver/Sales Workers and Truck Drivers,
Broad,53-3050,Passenger Vehicle Drivers,
Broad,53-3090,Miscellaneous Motor Vehicle Operators,
Broad,53-4010,Locomotive Engineers and Operators,
Broad,53-4020,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",
Broad,53-4030,Railroad Conductors and Yardmasters,
Broad,53-4040,Subway and Streetcar Operators,
Broad,53-4090,Miscellaneous Rail Transportation Workers,
Broad,53-5010,Sailors and Marine Oilers,
Broad,53-5020,Ship and Boat Captains and Operators,
Broad,53-5030,Ship Engineers,
Broad,53-6010,Bridge and Lock Tenders,
Broad,53-6020,Parking Attendants,
Broad,53-6030,Transportation Service Attendants,
Broad,53-6040,Traffic Technicians,
Broad,53-6050,Transportation Inspectors,
Broad,53-6060,Passenger Attendants,
Broad,53-6090,Miscellaneous Transportation Workers,
Broad,53-7010,Conveyor Operators and Tenders,
Broad,53-7020,Crane and Tower Operators,
Broad,53-7030,Dredge Operators,
Broad,53-7040,Hoist and Winch Operators,
Broad,53-7050,Industrial Truck and Tractor Operators,
Broad,53-7060,Laborers and Material Movers,
Broad,53-7070,Pumping Station Operators,
Broad,53-7080,Refuse and Recyclable Material Collectors,
Broad,53-7120,"Tank Car, Truck, and Ship Loaders",
Broad,53-7190,Miscellaneous Material Moving Workers,
Broad,55-1010,Military Officer Special and Tactical Operations Leaders,
Broad,55-2010,First-Line Enlisted Military Supervisors,
Broad,55-3010,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,
