Code,Title,Description
53,Real Estate and Rental and Leasing,"The Real Estate and Rental and Leasing sector comprises establishments primarily engaged in renting, leasing, or otherwise allowing the use of tangible or intangible assets, and establishments providing related services.  The major portion of this sector comprises establishments that rent, lease, or otherwise allow the use of their own assets by others.  The assets may be tangible, as is the case of real estate and equipment, or intangible, as is the case with patents and trademarks.

This sector also includes establishments primarily engaged in managing real estate for others, selling, renting and/or buying real estate for others, and appraising real estate.  These activities are closely related to this sector's main activity, and from a production basis they are included here.  In addition, a substantial proportion of property management is self-performed by lessors.

The main components of this sector are the real estate lessors industries (including equity real estate investment trusts (REITs)); equipment lessors industries (including motor vehicles, computers, and consumer goods); and lessors of nonfinancial intangible assets (except copyrighted works).

Excluded from this sector are establishments primarily engaged in renting or leasing equipment with operators.  Establishments renting or leasing equipment with operators are classified in various subsectors of NAICS depending on the nature of the services provided (e.g., transportation, construction, agriculture).  These activities are excluded from this sector because the client is paying for the expertise and knowledge of the equipment operator, in addition to the rental of the equipment.  In many cases, such as the rental of heavy construction equipment, the operator is essential to operate the equipment."
54,"Professional, Scientific, and Technical Services","The Professional, Scientific, and Technical Services sector comprises establishments that specialize in performing professional, scientific, and technical activities for others.  These activities require a high degree of expertise and training.  The establishments in this sector specialize according to expertise and provide these services to clients in a variety of industries and, in some cases, to households.  Activities performed include: legal advice and representation; accounting, bookkeeping, and payroll services; architectural, engineering, and specialized design services; computer services; consulting services; research services; advertising services; photographic services; translation and interpretation services; veterinary services; and other professional, scientific, and technical services.

This sector excludes establishments primarily engaged in providing a range of day-to-day office administrative services, such as financial planning, billing and recordkeeping, personnel supply, and physical distribution and logistics.  These establishments are classified in Sector 56, Administrative and Support and Waste Management and Remediation Services."
55,Management of Companies and Enterprises,"The Management of Companies and Enterprises sector comprises (1) establishments that hold the securities of (or other equity interests in) companies and enterprises for the purpose of owning a controlling interest or influencing management decisions or (2) establishments (except government establishments) that administer, oversee, and manage establishments of the company or enterprise and that normally undertake the strategic or organizational planning and decision-making role of the company or enterprise.  Establishments that administer, oversee, and manage may hold the securities of the company or enterprise.

Establishments in this sector perform essential activities that are often undertaken in-house by establishments in many sectors of the economy.  By consolidating the performance of these activities of the enterprise at one establishment, economies of scale are achieved.

Government establishments primarily engaged in administering, overseeing, and managing governmental programs are classified in Sector 92, Public Administration.  Establishments primarily engaged in providing a range of day-to-day office administrative services, such as financial planning, billing and recordkeeping, personnel, and physical distribution and logistics, are classified in Industry 56111, Office Administrative Services."
56,Administrative and Support and Waste Management and Remediation Services,"The Administrative and Support and Waste Management and Remediation Services sector comprises establishments performing routine support activities for the day-to-day operations of other organizations.  These essential activities are often undertaken in-house by establishments in many sectors of the economy.  The establishments in this sector specialize in one or more of these support activities and provide these services to clients in a variety of industries and, in some cases, to households.  Activities performed include: office administration, hiring and placing of personnel, document preparation and similar clerical services, solicitation, collection, security and surveillance services, cleaning, and waste disposal services.

The administrative and management activities performed by establishments in this sector are typically on a contract or fee basis.  These activities may also be performed by establishments that are part of the company or enterprise.  However, establishments involved in administering, overseeing, and managing other establishments of the company or enterprise are classified in Sector 55, Management of Companies and Enterprises.  Establishments in Sector 55, Management of Companies and Enterprises, normally undertake the strategic and organizational planning and decision-making role of the company or enterprise.  Government establishments engaged in administering, overseeing, and managing governmental programs are classified in Sector 92, Public Administration."
61,Educational Services,"The Educational Services sector comprises establishments that provide instruction and training in a wide variety of subjects.  This instruction and training is provided by specialized establishments, such as schools, colleges, universities, and training centers.  These establishments may be privately owned and operated for profit or not for profit, or they may be publicly owned and operated.  They may also offer food and/or accommodation services to their students.

Educational services are usually delivered by teachers or instructors that explain, tell, demonstrate, supervise, and direct learning.  Instruction is imparted in diverse settings, such as educational institutions, the workplace, or the home, and through diverse means, such as correspondence, television, the Internet, or other electronic and distance-learning methods.  The training provided by these establishments may include the use of simulators and simulation methods.  It can be adapted to the particular needs of the students, for example sign language can replace verbal language for teaching students with hearing impairments.  All industries in the sector share this commonality of process, namely, labor inputs of instructors with the requisite subject matter expertise and teaching ability."
62,Health Care and Social Assistance,"The Health Care and Social Assistance sector comprises establishments providing health care and social assistance for individuals.  The sector includes both health care and social assistance because it is sometimes difficult to distinguish between the boundaries of these two activities.  The industries in this sector are arranged on a continuum starting with establishments providing medical care exclusively, continuing with those providing health care and social assistance, and finally finishing with those providing only social assistance.  Establishments in this sector deliver services by trained professionals.  All industries in the sector share this commonality of process, namely, labor inputs of health practitioners or social workers with the requisite expertise.  Many of the industries in the sector are defined based on the educational degree held by the practitioners included in the industry.

Excluded from this sector are aerobic classes in Subsector 713, Amusement, Gambling, and Recreation Industries, and non-medical diet and weight reducing centers in Subsector 812, Personal and Laundry Services.  Although these can be viewed as health services, these services are not typically delivered by health practitioners."
71,"Arts, Entertainment, and Recreation","The Arts, Entertainment, and Recreation sector includes a wide range of establishments that operate facilities or provide services to meet varied cultural, entertainment, and recreational interests of their patrons.  This sector comprises (1) establishments that are involved in producing, promoting, or participating in live performances, events, or exhibits intended for public viewing; (2) establishments that preserve and exhibit objects and sites of historical, cultural, or educational interest; and (3) establishments that operate facilities or provide services that enable patrons to participate in recreational activities or pursue amusement, hobby, and leisure-time interests.

Some establishments that provide cultural, entertainment, or recreational facilities and services are classified in other sectors.  Excluded from this sector are: (1) establishments that provide both accommodations and recreational facilities, such as hunting and fishing camps and resort and casino hotels are classified in Subsector 721, Accommodation; (2) restaurants and night clubs that provide live entertainment in addition to the sale of food and beverages are classified in Subsector 722, Food Services and Drinking Places; (3) motion picture theaters, libraries and archives, and publishers of newspapers, magazines, books, periodicals, and computer software are classified in Sector 51, Information; and (4) establishments using transportation equipment to provide recreational and entertainment services, such as those operating sightseeing buses, dinner cruises, or helicopter rides, are classified in Subsector 487, Scenic and Sightseeing Transportation."
72,Accommodation and Food Services,"The Accommodation and Food Services sector comprises establishments providing customers with lodging and/or preparing meals, snacks, and beverages for immediate consumption.  The sector includes both accommodation and food services establishments because the two activities are often combined at the same establishment.

Excluded from this sector are civic and social organizations; amusement and recreation parks; theaters; and other recreation or entertainment facilities providing food and beverage services."
81,Other Services (except Public Administration),"The Other Services (except Public Administration) sector comprises establishments engaged in providing services not specifically provided for elsewhere in the classification system.  Establishments in this sector are primarily engaged in activities such as equipment and machinery repairing, promoting or administering religious activities, grantmaking, advocacy, and providing drycleaning and laundry services, personal care services, death care services, pet care services, photofinishing services, temporary parking services, and dating services.

Private households that engage in employing workers on or about the premises in activities primarily concerned with the operation of the household are included in this sector.

Excluded from this sector are establishments primarily engaged in retailing new equipment and also performing repairs and general maintenance on equipment.  These establishments are classified in Sector 44-45, Retail Trade."
92,Public Administration,"The Public Administration sector consists of establishments of federal, state, and local government agencies that administer, oversee, and manage public programs and have executive, legislative, or judicial authority over other institutions within a given area.  These agencies also set policy, create laws, adjudicate civil and criminal legal cases, and provide for public safety and for national defense.  In general, government establishments in the Public Administration sector oversee governmental programs and activities that are not performed by private establishments.  Establishments in this sector typically are engaged in the organization and financing of the production of public goods and services, most of which are provided for free or at prices that are not economically significant.

Government establishments also engage in a wide range of productive activities covering not only public goods and services but also individual goods and services similar to those produced in sectors typically identified with private-sector establishments.  In general, ownership is not a criterion for classification in NAICS.  Therefore, government establishments engaged in the production of private-sector-like goods and services should be classified in the same industry as private-sector establishments engaged in similar activities.

As a practical matter, it is difficult to identify separate establishment detail for many government agencies.  To the extent that separate establishment records are available, the administration of governmental programs is classified in Sector 92, Public Administration, while the operation of governmental programs is classified elsewhere in NAICS based on the activities performed.  For example, the governmental administrative authority for an airport is classified in Industry 92612, Regulation and Administration of Transportation Programs, while operating the airport is classified in Industry 48811, Airport Operations.  When separate records for multi-establishment companies are not available to distinguish between the administration of a governmental program and the operation of it, the establishment is classified in Sector 92, Public Administration.

Examples of government-provided goods and services that are classified in sectors other than Public Administration include: schools, classified in Sector 61, Educational Services; hospitals, classified in Subsector 622, Hospitals; establishments operating transportation facilities, classified in Sector 48-49, Transportation and Warehousing; the operation of utilities, classified in Sector 22, Utilities; and the Government Printing Office, classified in Subsector 323, Printing and Related Support Activities."
