Code,Title,Description
237,Heavy and Civil Engineering Construction,"The Heavy and Civil Engineering Construction subsector comprises establishments whose primary activity is the construction of entire engineering projects (e.g., highways and dams), and specialty trade contractors, whose primary activity is the production of a specific component for such projects.  Specialty trade contractors in the Heavy and Civil Engineering Construction subsector generally are performing activities that are specific to heavy and civil engineering construction projects and are not normally performed on buildings.  The work performed may include new work, additions, alterations, or maintenance and repairs. 

Specialty trade activities are classified in this subsector if the skills and equipment present are specific to heavy or civil engineering construction projects.  For example, specialized equipment is needed to paint lines on highways.  This equipment is not normally used in building applications so the activity is classified in this subsector.  Traffic signal installation, while specific to highways, uses much of the same skills and equipment that are needed for electrical work in building projects and is therefore classified in Subsector 238, Specialty Trade Contractors.

Construction projects involving water resources (e.g., dredging and land drainage) and projects involving open space improvement (e.g., parks and trails) are included in this subsector.  Establishments whose primary activity is the subdivision of land into individual building lots usually perform various additional site-improvement activities (e.g., road building and utility line installation) and are included in this subsector. 

Establishments in this subsector are classified based on the types of structures that they construct.  This classification reflects variations in the requirements of the underlying production processes."
238,Specialty Trade Contractors,"The Specialty Trade Contractors subsector comprises establishments whose primary activity is performing specific activities (e.g., pouring concrete, site preparation, plumbing, painting, and electrical work) involved in building construction or other activities that are similar for all types of construction, but that are not responsible for the entire project.  The work performed may include new work, additions, alterations, maintenance, and repairs.  The production work performed by establishments in this subsector is usually subcontracted from establishments of the general contractor type or for-sale builders, but especially in remodeling and repair construction, work also may be done directly for the owner of the property.  Specialty trade contractors usually perform most of their work at the construction site, although they may have shops where they perform prefabrication and other work.  Establishments primarily engaged in preparing sites for new construction are also included in this subsector.

There are substantial differences in types of equipment, work force skills, and other inputs required by specialty trade contractors.  Establishments in this subsector are classified based on the underlying production function for the specialty trade in which they specialize.  Throughout the Specialty Trade Contractors subsector, establishments commonly provide both the parts and labor required to complete work.  For example, electrical contractors supply the current-carrying and noncurrent-carrying wiring devices that are required to install a circuit.  Plumbing, heating, and air-conditioning contractors also supply the parts required to complete a contract. 

Establishments that specialize in activities primarily related to heavy and civil engineering construction that are not normally performed on buildings, such as the painting of lines on highways, are classified in Subsector 237, Heavy and Civil Engineering Construction.

Establishments that are primarily engaged in selling construction materials are classified in Sector 42, Wholesale Trade, or Sector 44-45, Retail Trade, based on the characteristics of the selling unit."
311,Food Manufacturing,"Industries in the Food Manufacturing subsector transform livestock and agricultural products into products for intermediate or final consumption.  The industry groups are distinguished by the raw materials (generally of animal or vegetable origin) processed into food products.

The food products manufactured in these establishments are typically sold to wholesalers or retailers for distribution to consumers, but establishments primarily engaged in retailing bakery and candy products made on the premises not for immediate consumption are included.

Establishments primarily engaged in manufacturing beverages are classified in Subsector 312, Beverage and Tobacco Product Manufacturing."
312,Beverage and Tobacco Product Manufacturing,"Industries in the Beverage and Tobacco Product Manufacturing subsector manufacture beverages and tobacco products.  The Beverage Manufacturing industry group includes three types of establishments: (1) those that manufacture nonalcoholic beverages; (2) those that manufacture alcoholic beverages through the fermentation process; and (3) those that produce distilled alcoholic beverages.  Ice manufacturing, while not a beverage, is included with nonalcoholic beverage manufacturing because it uses the same production process as water purification.

In the case of activities related to the manufacture of beverages, the structure follows the defined production processes.  Brandy, a distilled beverage, is not placed under distillery product manufacturing, but rather under winery product manufacturing since the production process used in the manufacturing of alcoholic grape-based beverages produces both wines (fermented beverage) and brandies (distilled beverage).

The Tobacco Manufacturing industry group includes two types of establishments: (1) those engaged in redrying and stemming tobacco and (2) those that manufacture tobacco products, such as cigarettes and cigars."
313,Textile Mills,"Industries in the Textile Mills subsector group establishments that transform a basic fiber (natural or synthetic) into a product, such as yarn or fabric that is further manufactured into usable items, such as apparel, sheets, towels, and textile bags for individual or industrial consumption.  The further manufacturing may be performed in the same establishment and classified in this subsector, or it may be performed at a separate establishment and be classified elsewhere in manufacturing. 

The main processes in this subsector include preparation and spinning of fiber, knitting or weaving of fabric, and the finishing of the textile.  The NAICS structure follows and captures this process flow. Major industries in this flow, such as preparation of fibers, weaving of fabric, knitting of fabric, and fiber and fabric finishing, are uniquely identified.  Texturizing, throwing, twisting, and winding of yarn contain aspects of both fiber preparation and fiber finishing and are classified with preparation of fibers rather than with finishing of fibers. 

NAICS separates the manufacturing of primary textiles and the manufacturing of textile products (except apparel) produced from purchased primary textiles, such as fabric.  The manufacturing of textile products (except apparel) from purchased fabric is classified in Subsector 314, Textile Product Mills, and apparel from purchased fabric is classified in Subsector 315, Apparel Manufacturing. 

Excluded from this subsector are establishments that weave or knit fabric and make garments. These establishments are included in Subsector 315, Apparel Manufacturing."
314,Textile Product Mills,"Industries in the Textile Product Mills subsector group establishments that make textile products (except apparel).  With a few exceptions, processes used by these establishments are generally cut and sew (i.e., purchasing fabric and cutting and sewing to make nonapparel textile products, such as sheets and towels)."
315,Apparel Manufacturing,"Industries in the Apparel Manufacturing subsector group establishments with two distinct manufacturing processes: (1) cut and sew (i.e., purchasing fabric and cutting and sewing to make a garment) and (2) the manufacture of garments in establishments that first knit fabric and then cut and sew the fabric into a garment.  The Apparel Manufacturing subsector includes a diverse range of establishments manufacturing full lines of ready-to-wear apparel and custom apparel: apparel contractors, performing cutting or sewing operations on materials owned by others; jobbers, performing entrepreneurial functions involved in apparel manufacturing; and tailors, manufacturing custom garments for individual clients. Knitting fabric, when done alone, is classified in the Textile Mills subsector, but when knitting is combined with the production of complete garments, the activity is classified in the Apparel Manufacturing subsector."
316,Leather and Allied Product Manufacturing,"Establishments in the Leather and Allied Product Manufacturing subsector transform hides into leather by tanning or curing and fabricating the leather into products for final consumption.  This subsector also includes the manufacture of similar products from other materials, including products (except apparel) made from ""leather substitutes,"" such as rubber, plastics, or textiles.  Rubber footwear, textile luggage, and plastics purses or wallets are examples of ""leather substitute"" products included in this subsector.  The products made from leather substitutes are included in this subsector because they are made in similar ways leather products are made (e.g., luggage).  They are made in the same establishments, so it is not practical to separate them.

The inclusion of leather and hide tanning and finishing in this subsector is partly because it is a relatively small industry that has few close neighbors as a production process, partly because leather is an input to some of the other products classified in this subsector, and partly for historical reasons."
321,Wood Product Manufacturing,"Establishments in the Wood Product Manufacturing subsector manufacture wood products, such as lumber, plywood, veneers, wood containers, wood flooring, wood trusses, manufactured homes (i.e., mobile homes), and prefabricated wood buildings.  The production processes of the Wood Product Manufacturing subsector include sawing, planing, shaping, laminating, and assembling wood products starting from logs that are cut into bolts, or lumber that then may be further cut, or shaped by lathes or other shaping tools.  The lumber or other transformed wood shapes may also be subsequently planed or smoothed, and assembled into finished products, such as wood containers.  The Wood Product Manufacturing subsector includes establishments that make wood products from logs and bolts that are sawed and shaped, and establishments that purchase sawed lumber and make wood products.  With the exception of sawmills and wood preservation establishments, the establishments are grouped into industries mainly based on the specific products manufactured."
322,Paper Manufacturing,"Industries in the Paper Manufacturing subsector make pulp, paper, or converted paper products.  The manufacturing of these products is grouped together because they constitute a series of vertically connected processes.  More than one is often carried out in a single establishment.  There are essentially three activities.  The manufacturing of pulp involves separating the cellulose fibers from other impurities in wood or used paper.  The manufacturing of paper involves matting these fibers into a sheet.  The manufacturing of converted paper products involves converting paper and other materials by various cutting and shaping techniques and includes coating and laminating activities.

The Paper Manufacturing subsector is subdivided into two industry groups, the first for the manufacturing of pulp and paper and the second for the manufacturing of converted paper products.  Paper making is treated as the core activity of the subsector.  Therefore, any establishment that makes paper (including paperboard), either alone or in combination with pulp manufacturing or paper converting, is classified as a paper or paperboard mill.  Establishments that make pulp without making paper are classified as pulp mills.  Pulp mills, paper mills and paperboard mills comprise the first industry group.

Establishments that make products from purchased paper and other materials make up the second industry group, Converted Paper Product Manufacturing.  This general activity is then subdivided based, for the most part, on process distinctions.  Paperboard container manufacturing uses corrugating, cutting, and shaping machinery to form paperboard into containers.  Paper bag and coated and treated paper manufacturing establishments cut and coat paper and foil.  Stationery product manufacturing establishments make a variety of paper products used for writing, filing, and similar applications.  Other converted paper product manufacturing includes, in particular, the conversion of sanitary paper stock into such things as tissue paper and disposable diapers. 

An important process used in the Paper Bag and Coated and Treated Paper Manufacturing industry is lamination, often combined with coating.  Lamination and coating make a composite material with improved properties of strength, impermeability, and so on.  The laminated materials may be paper, metal foil, or plastics film. While paper is often one of the components, it is not always.  Lamination of plastics film to plastics film is classified in Subsector 326, Plastics and Rubber Products Manufacturing, because establishments that do this often first make the film.  The same situation holds with respect to bags.  The manufacturing of bags from plastics only, whether or not laminated, is classified in Subsector 326, Plastics and Rubber Products Manufacturing, but all other bag manufacturing is classified in this subsector. 

Excluded from this subsector are photosensitive papers.  These papers are chemically treated and are classified in Industry 32599, All Other Chemical Product and Preparation Manufacturing."
323,Printing and Related Support Activities,"Industries in the Printing and Related Support Activities subsector print products, such as newspapers, books, labels, business cards, stationery, business forms, and other materials, and perform support activities, such as data imaging, platemaking services, and bookbinding.  The support activities included here are an integral part of the printing industry, and a product (a printing plate, a bound book, or a computer disk or file) that is an integral part of the printing industry is almost always provided by these operations. 

Processes used in printing include a variety of methods used to transfer an image from a plate, screen, film, or computer file to some medium, such as paper, plastics, metal, textile articles, or wood.  The printing processes employed include, but are not limited to, lithographic, gravure, screen, flexographic, digital, and letterpress. 

In contrast to many other classification systems that locate publishing of printed materials in manufacturing, NAICS classifies the publishing of printed products in Subsector 511, Publishing Industries (except Internet).  Though printing and publishing are often carried out by the same enterprise (a newspaper, for example), it is less and less the case that these distinct activities are carried out in the same establishment.  When publishing and printing are done in the same establishment, the establishment is classified in Sector 51, Information, in the appropriate NAICS industry even if the receipts for printing exceed those for publishing. 

This subsector includes printing on clothing because the production process for that activity is printing, not clothing manufacturing.  For instance, the printing of T-shirts is included in this subsector. In contrast, printing on fabric (or grey goods) is not included.  This activity is part of the process of finishing the fabric and is included in the Textile Mills subsector in Industry 31331, Textile and Fabric Finishing Mills."
324,Petroleum and Coal Products Manufacturing,"The Petroleum and Coal Products Manufacturing subsector is based on the transformation of crude petroleum and coal into usable products.  The dominant process is petroleum refining that involves the separation of crude petroleum into component products through such techniques as cracking and distillation. 

In addition, this subsector includes establishments that primarily further process refined petroleum and coal products and produce products, such as asphalt coatings and petroleum lubricating oils.  However, establishments that manufacture petrochemicals from refined petroleum are classified in Industry 32511, Petrochemical Manufacturing."
325,Chemical Manufacturing,"The Chemical Manufacturing subsector is based on the transformation of organic and inorganic raw materials by a chemical process and the formulation of products.  This subsector distinguishes the production of basic chemicals that comprise the first industry group from the production of intermediate and end products produced by further processing of basic chemicals that make up the remaining industry groups. 

This subsector does not include all industries transforming raw materials by a chemical process.  It is common for some chemical processing to occur during mining operations.  These beneficiating operations, such as copper concentrating, are classified in Sector 21, Mining, Quarrying, and Oil and Gas Extraction.  Furthermore, the refining of crude petroleum is included in Subsector 324, Petroleum and Coal Products Manufacturing.  In addition, the manufacturing of aluminum oxide is included in Subsector 331, Primary Metal Manufacturing; and beverage distilleries are classified in Subsector 312, Beverage and Tobacco Product Manufacturing.  As is the case of these two activities, the grouping of industries into subsectors may take into account the association of the activities performed with other activities in the subsector."
326,Plastics and Rubber Products Manufacturing,"Industries in the Plastics and Rubber Products Manufacturing subsector make goods by processing plastics materials and raw rubber.  The core technology employed by establishments in this subsector is that of plastics or rubber product production.  Plastics and rubber are combined in the same subsector because plastics are increasingly being used as a substitute for rubber; however the subsector is generally restricted to the production of products made of just one material, either solely plastics or rubber. 

Many manufacturing activities use plastics or rubber, for example the manufacture of footwear or furniture.  Typically, the production process of these products involves more than one material. In these cases, technologies that allow disparate materials to be formed and combined are of central importance in describing the manufacturing activity.  In NAICS, such activities (footwear and furniture manufacturing) are not classified in the Plastics and Rubber Products Manufacturing subsector because the core technologies for these activities are diverse and involve multiple materials. 

Within the Plastics and Rubber Products Manufacturing subsector, a distinction is made between plastics and rubber products at the industry group level, although it is not a rigid distinction, as can be seen from the definition of Industry 32622, Rubber and Plastics Hoses and Belting Manufacturing.  As materials technology progresses, plastics are increasingly being used as a substitute for rubber; and eventually, the distinction may disappear as a basis for establishment classification. 

In keeping with the core technology focus of plastics, lamination of plastics film to plastics film as well as the production of bags from plastics only is classified in this subsector.  Lamination and bag production involving plastics and materials other than plastics are classified in Subsector 322, Paper Manufacturing."
327,Nonmetallic Mineral Product Manufacturing,"The Nonmetallic Mineral Product Manufacturing subsector transforms mined or quarried nonmetallic minerals, such as sand, gravel, stone, clay, and refractory materials, into products for intermediate or final consumption.  Processes used include grinding, mixing, cutting, shaping, and honing.  Heat often is used in the process and chemicals are frequently mixed to change the composition, purity, and chemical properties for the intended product.  For example, glass is produced by heating silica sand to the melting point (sometimes combined with cullet or recycled glass) and then drawn, floated, or blow molded to the desired shape or thickness.  Refractory materials are heated and then formed into bricks or other shapes for use in industrial applications. 

The Nonmetallic Mineral Product Manufacturing subsector includes establishments that manufacture bricks, refractories, ceramic products, and glass and glass products, such as plate glass and containers.  Also included are cement and concrete products, lime, gypsum and other nonmetallic mineral products including abrasive products, ceramic plumbing fixtures, statuary, cut stone products, and mineral wool.  The products are used in a wide range of activities from construction and heavy and light manufacturing to articles for personal use. 

Mining, beneficiating, and manufacturing activities often occur in a single location.  Separate receipts will be collected for these activities whenever possible.  When receipts cannot be broken out between mining and manufacturing, establishments that mine or quarry nonmetallic minerals, beneficiate the nonmetallic minerals, and further process the nonmetallic minerals into a more finished manufactured product are classified based on the primary activity of the establishment.  A mine that manufactures a small amount of finished products is classified in Sector 21, Mining, Quarrying, and Oil and Gas Extraction.  An establishment that mines whose primary output is a more finished manufactured product is classified in the Manufacturing sector. 

Excluded from the Nonmetallic Mineral Product Manufacturing subsector are establishments that primarily beneficiate mined nonmetallic minerals.  Beneficiation is the process whereby the extracted material is reduced to particles that can be separated into mineral and waste, the former suitable for further processing or direct use.  Beneficiation establishments are included in Sector 21, Mining, Quarrying, and Oil and Gas Extraction."
331,Primary Metal Manufacturing,"Industries in the Primary Metal Manufacturing subsector smelt and/or refine ferrous and nonferrous metals from ore, pig or scrap, using electrometallurgical and other process metallurgical techniques.  Establishments in this subsector also manufacture metal alloys and superalloys by introducing other chemical elements to pure metals.  The output of smelting and refining, usually in ingot form, is used in rolling, drawing, and extruding operations to make sheet, strip, bar, rod, or wire, and in molten form to make castings and other basic metal products. 

Primary manufacturing of ferrous and nonferrous metals begins with ore or concentrate as the primary input.  Establishments manufacturing primary metals from ore and/or concentrate remain classified in the primary smelting, primary refining, or iron and steel mill industries regardless of the form of their output.  Establishments primarily engaged in secondary smelting and/or secondary refining recover ferrous and nonferrous metals from scrap and/or dross.  The output of the secondary smelting and/or secondary refining industries is limited to shapes such as ingot or billet that will be further processed.  Recovery of metals from scrap often occurs in establishments that are primarily engaged in activities, such as rolling, drawing, extruding, or similar processes. 

Excluded from the Primary Metal Manufacturing subsector are establishments primarily engaged in manufacturing ferrous and nonferrous forgings (except ferrous forgings made in steel mills) and stampings.  Although forging, stamping, and casting are all methods used to make metal shapes, forging and stamping do not use molten metals and are included in Subsector 332, Fabricated Metal Product Manufacturing.  Establishments primarily engaged in operating coke ovens are classified in Industry 32419, Other Petroleum and Coal Products Manufacturing."
332,Fabricated Metal Product Manufacturing,"Industries in the Fabricated Metal Product Manufacturing subsector transform metal into intermediate or end products, other than machinery, computers and electronics, and metal furniture, or treat metals and metal formed products fabricated elsewhere.  Important fabricated metal processes are forging, stamping, bending, forming, and machining, used to shape individual pieces of metal; and other processes, such as welding and assembling, used to join separate parts together.  Establishments in this subsector may use one of these processes or a combination of these processes. 

The NAICS structure for this subsector distinguishes the forging and stamping processes in a single industry.  The remaining industries in the subsector group establishments based on similar combinations of processes used to make products. 

The manufacturing performed in the Fabricated Metal Product Manufacturing subsector begins with manufactured metal shapes.  The establishments in this subsector further fabricate the purchased metal shapes into a product.  For instance, the Spring and Wire Product Manufacturing industry starts with wire and fabricates such items. 

Within manufacturing there are other establishments that make the same products made by this subsector; only these establishments begin production further back in the production process.  These establishments have a more integrated operation.  For instance, one establishment may manufacture steel, draw it into wire, and make wire products in the same establishment.  Such operations are classified in the Primary Metal Manufacturing subsector."
333,Machinery Manufacturing,"Industries in the Machinery Manufacturing subsector create end products that apply mechanical force, for example, the application of gears and levers, to perform work.  Some important processes for the manufacture of machinery are forging, stamping, bending, forming, and machining that are used to shape individual pieces of metal.  Processes, such as welding and assembling are used to join separate parts together.  Although these processes are similar to those used in metal fabricating establishments, machinery manufacturing is different because it typically employs multiple metal forming processes in manufacturing the various parts of the machine.  Moreover, complex assembly operations are an inherent part of the production process. 

In general, design considerations are very important in machinery production. Establishments specialize in making machinery designed for particular applications.  Thus, design is considered to be part of the production process for the purpose of implementing NAICS.  The NAICS structure reflects this by defining industries and industry groups that make machinery for different applications.  A broad distinction exists between machinery that is generally used in a variety of industrial applications (i.e., general purpose machinery) and machinery that is designed to be used in a particular industry (i.e., special purpose machinery).  Three industry groups consist of special purpose machinery--Agricultural, Construction, and Mining Machinery Manufacturing; Industrial Machinery Manufacturing; and Commercial and Service Industry Machinery Manufacturing.  The other industry groups make general purpose machinery: Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing; Metalworking Machinery Manufacturing; Engine, Turbine, and Power Transmission Equipment Manufacturing; and Other General Purpose Machinery Manufacturing."
334,Computer and Electronic Product Manufacturing,"Industries in the Computer and Electronic Product Manufacturing subsector group establishments that manufacture computers, computer peripherals, communications equipment, and similar electronic products, and establishments that manufacture components for such products.  The Computer and Electronic Product Manufacturing industries have been combined in the hierarchy of NAICS because of the economic significance they have attained.  Their rapid growth suggests that they will become even more important to the economies of all three North American countries in the future, and in addition their manufacturing processes are fundamentally different from the manufacturing processes of other machinery and equipment.  The design and use of integrated circuits and the application of highly specialized miniaturization technologies are common elements in the production technologies of the Computer and Electronic Product Manufacturing subsector.  Convergence of technology motivates this NAICS subsector.  Digitalization of sound recording, for example, causes both the medium (the compact disc) and the equipment to resemble the technologies for recording, storing, transmitting, and manipulating data.  Communications technology and equipment have been converging with computer technology.  When technologically-related components are in the same sector, it makes it easier to adjust the classification for future changes, without needing to redefine its basic structure.  The creation of the Computer and Electronic Product Manufacturing subsector assists in delineating new and emerging industries because the activities that will serve as the probable sources of new industries, such as computer manufacturing and communications equipment manufacturing, or computers and audio equipment, are brought together.  As new activities emerge, they are less likely to cross the subsector boundaries of the classification."
335,"Electrical Equipment, Appliance, and Component Manufacturing","Industries in the Electrical Equipment, Appliance, and Component Manufacturing subsector manufacture products that generate, distribute and use electrical power. Electric Lighting Equipment Manufacturing establishments produce electric lamp bulbs, lighting fixtures, and parts.  Household Appliance Manufacturing establishments make both small and major electrical appliances and parts.  Electrical Equipment Manufacturing establishments make goods, such as electric motors, generators, transformers, and switchgear apparatus.  Other Electrical Equipment and Component Manufacturing establishments make devices for storing electrical power (e.g., batteries), for transmitting electricity (e.g., insulated wire), and wiring devices (e.g., electrical outlets, fuse boxes, and light switches)."
336,Transportation Equipment Manufacturing,"Industries in the Transportation Equipment Manufacturing subsector produce equipment for transporting people and goods.  Transportation equipment is a type of machinery.  An entire subsector is devoted to this activity because of the significance of its economic size in all three North American countries. 

Establishments in this subsector utilize production processes similar to those of other machinery manufacturing establishments—bending, forming, welding, machining, and assembling metal or plastic parts into components and finished products.  However, the assembly of components and subassemblies and their further assembly into finished vehicles tends to be a more common production process in this subsector than in the Machinery Manufacturing subsector. 

NAICS has industry groups for the manufacture of equipment for each mode of transport—road, rail, air and water.  Parts for motor vehicles warrant a separate industry group because of their importance and because they require less assembly than complete vehicles. 

Land use motor vehicle equipment not designed for highway operation (e.g., agricultural equipment, construction equipment, and material handling equipment) is classified in the appropriate NAICS subsector based on the type and use of the equipment."
