Code,Title,Description
3339,Other General Purpose Machinery Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing pumps and compressors, material handling equipment, and all other general purpose machinery (except ventilation, heating, air-conditioning, and commercial refrigeration equipment; metalworking machinery; and engines, turbines, and power transmission equipment)."
3341,Computer and Peripheral Equipment Manufacturing,""
3342,Communications Equipment Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing wire telephone and data communications equipment, radio and television broadcast and wireless communications equipment, and all other communications equipment."
3343,Audio and Video Equipment Manufacturing,""
3344,Semiconductor and Other Electronic Component Manufacturing,""
3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",""
3346,Manufacturing and Reproducing Magnetic and Optical Media,""
3351,Electric Lighting Equipment Manufacturing,"This industry group comprises establishments primarily engaged in (1) manufacturing electric light bulbs and tubes, and parts and components (except glass blanks for electric light bulbs) or (2) manufacturing electric lighting fixtures (except vehicular), nonelectric lighting equipment, lamp shades (except glass and plastics), and lighting fixture components (except current-carrying wiring devices)."
3352,Household Appliance Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing small electric appliances, electric housewares, and major household appliances."
3353,Electrical Equipment Manufacturing,""
3359,Other Electrical Equipment and Component Manufacturing,"This industry group comprises establishments manufacturing electrical equipment and components (except electric lighting equipment, household-type appliances, transformers, switchgear, relays, motors, and generators)."
3361,Motor Vehicle Manufacturing,"This industry group comprises establishments primarily engaged in (1) manufacturing complete automobiles, light duty motor vehicles, and heavy duty trucks (i.e., body and chassis or unibody) or (2) manufacturing motor vehicle chassis only."
3362,Motor Vehicle Body and Trailer Manufacturing,""
3363,Motor Vehicle Parts Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing motor vehicle gasoline engines and engine parts, motor vehicle electrical and electronic equipment, motor vehicle steering and suspension components (except springs), motor vehicle brake systems, motor vehicle transmission and power train parts, motor vehicle seating and interior trim, motor vehicle metal stampings, and other motor vehicle parts and accessories.  This industry group includes establishments that rebuild motor vehicle parts."
3364,Aerospace Product and Parts Manufacturing,""
3365,Railroad Rolling Stock Manufacturing,""
3366,Ship and Boat Building,""
3369,Other Transportation Equipment Manufacturing,""
3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,"This industry group comprises establishments manufacturing household-type furniture, such as living room, kitchen and bedroom furniture and institutional (i.e., public building) furniture, such as furniture for schools, theaters, and churches."
3372,Office Furniture (including Fixtures) Manufacturing,""
3379,Other Furniture Related Product Manufacturing,"This industry group comprises establishments manufacturing furniture related products, such as mattresses, blinds, and shades."
3391,Medical Equipment and Supplies Manufacturing,""
3399,Other Miscellaneous Manufacturing,"This industry group comprises establishments primarily engaged in miscellaneous manufacturing, such as jewelry and silverware manufacturing, sporting and athletic goods manufacturing, doll, toy, and game manufacturing, office supplies (except paper) manufacturing, sign manufacturing, and all other miscellaneous manufacturing."
4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of automobiles and other motor vehicles, motor vehicle supplies, tires, and new and used parts."
4232,Furniture and Home Furnishing Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of furniture (except hospital beds, medical furniture, and drafting tables), home furnishings, and/or housewares."
4233,Lumber and Other Construction Materials Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of lumber, plywood, millwork, and wood panels; brick, stone, and related construction materials; roofing, siding, and insulation materials; and other construction materials, including manufactured homes (i.e., mobile homes) and/or prefabricated buildings."
4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of photographic equipment and supplies; office, computer, and computer peripheral equipment; and medical, dental, hospital, ophthalmic, and other commercial and professional equipment and supplies."
4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of products of the primary metals industries (including metal service centers) and coal, coke, metal ores, and/or nonmetallic minerals (except precious and semiprecious stones and minerals used in construction)."
4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of electrical apparatus and equipment, wiring supplies, and related equipment; household appliances, electric housewares, and consumer electronics; and other electronic parts and equipment."
4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",This industry group comprises establishments primarily engaged in the merchant wholesale distribution of hardware; plumbing and heating equipment and supplies (hydronics); warm air heating and air-conditioning equipment and supplies; and refrigeration equipment and supplies.
4238,"Machinery, Equipment, and Supplies Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of construction, mining, farm, garden, industrial, service establishment, and transportation machinery, equipment, and supplies."
4239,Miscellaneous Durable Goods Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of sporting, recreational, toy, hobby, and jewelry goods and supplies, and precious stones and metals."
4241,Paper and Paper Product Merchant Wholesalers,This industry group comprises establishments primarily engaged in the merchant wholesale distribution of bulk printing and writing paper; stationery and office supplies; and industrial and personal service paper.
4242,Drugs and Druggists' Sundries Merchant Wholesalers,""
4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of piece goods, notions, and other dry goods; men's and boys' clothing and furnishings; women's, children's, and infants' clothing and accessories; and footwear."
4244,Grocery and Related Product Merchant Wholesalers,This industry group comprises establishments primarily engaged in the merchant wholesale distribution of (1) a general line of groceries; (2) packaged frozen food; (3) dairy products; (4) poultry and poultry products; (5) confectioneries; (6) fish and seafood; (7) meats and meat products; (8) fresh fruits and vegetables; and (9) other grocery and related products.
4245,Farm Product Raw Material Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of agricultural products (except raw milk, live poultry, and fresh fruits and vegetables), such as grains, field beans, livestock, and other farm product raw materials (excluding seeds)."
4246,Chemical and Allied Products Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of chemicals, plastics materials and basic forms and shapes, and allied products."
4247,Petroleum and Petroleum Products Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of petroleum and petroleum products, including liquefied petroleum gas."
4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of beer, ale, wine, and/or distilled alcoholic beverages."
4249,Miscellaneous Nondurable Goods Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of nondurable goods, such as farm supplies; books, periodicals and newspapers; flowers; nursery stock; paints; varnishes; tobacco and tobacco products; and other miscellaneous nondurable goods, such as cut Christmas trees and pet supplies."
4251,Wholesale Electronic Markets and Agents and Brokers,""
4411,Automobile Dealers,"This industry group comprises establishments primarily engaged in retailing new and used automobiles and light trucks, such as sport utility vehicles, and passenger and cargo vans."
4412,Other Motor Vehicle Dealers,"This industry group comprises establishments primarily engaged in retailing new and used vehicles (except automobiles, light trucks, such as sport utility vehicles, and passenger and cargo vans)."
4413,"Automotive Parts, Accessories, and Tire Stores","This industry group comprises establishments primarily engaged in retailing new, used, and/or rebuilt automotive parts and accessories, including tires and tubes. Included in this industry group are establishments primarily engaged in retailing automotive parts and accessories in combination with automotive repair services."
4421,Furniture Stores,""
4422,Home Furnishings Stores,This industry group comprises establishments primarily engaged in retailing new home furnishings (except furniture).
4431,Electronics and Appliance Stores,""
4441,Building Material and Supplies Dealers,This industry group comprises establishments primarily engaged in retailing new building materials and supplies.
4442,Lawn and Garden Equipment and Supplies Stores,This industry group comprises establishments primarily engaged in retailing new lawn and garden equipment and supplies.
4451,Grocery Stores,This industry group comprises establishments primarily engaged in retailing a general line of food products.
4452,Specialty Food Stores,This industry group comprises establishments primarily engaged in retailing specialized lines of food.
4453,"Beer, Wine, and Liquor Stores",""
4461,Health and Personal Care Stores,""
4471,Gasoline Stations,""
4481,Clothing Stores,This industry group comprises establishments primarily engaged in retailing new clothing.
4482,Shoe Stores,""
4483,"Jewelry, Luggage, and Leather Goods Stores","This industry group comprises establishments primarily engaged in retailing new jewelry (except costume jewelry); new sterling and plated silverware; new watches and clocks; and new luggage with or without a general line of new leather goods and accessories, such as hats, gloves, handbags, ties, and belts."
4511,"Sporting Goods, Hobby, and Musical Instrument Stores","This industry group comprises establishments primarily engaged in retailing new sporting goods, games and toys, and musical instruments."
4512,Book Stores and News Dealers,""
4522,Department Stores,""
4523,"General Merchandise Stores, including Warehouse Clubs and Supercenters",""
4531,Florists,""
4532,"Office Supplies, Stationery, and Gift Stores","This industry group comprises establishments primarily engaged in retailing new office supplies, stationery, gifts, novelty merchandise, and souvenirs."
4533,Used Merchandise Stores,""
4539,Other Miscellaneous Store Retailers,"This industry group comprises establishments primarily engaged in retailing new miscellaneous specialty store merchandise (except motor vehicle and parts dealers; furniture and home furnishings stores; consumer-type electronics and appliance stores; building material and garden equipment and supplies dealers; food and beverage stores; health and personal care stores; gasoline stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music stores; general merchandise stores; florists; office supplies, stationery, and gift stores; and used merchandise stores).  This industry group also includes establishments primarily engaged in retailing a general line of new and used merchandise on an auction basis (except electronic auctions)."
4541,Electronic Shopping and Mail-Order Houses,""
4542,Vending Machine Operators,""
4543,Direct Selling Establishments,"This industry group comprises establishments primarily engaged in nonstore retailing (except electronic, mail-order, or vending machine sales).  These establishments typically go to the customers' location rather than the customer coming to them (e.g., door-to-door sales, home parties).  Examples of establishments in this industry are home delivery newspaper routes; home delivery of heating oil, liquefied petroleum (LP) gas, and other fuels; locker meat provisioners; frozen food and freezer meal plan providers; coffee-break supplies providers; and bottled water or water softener services."
4811,Scheduled Air Transportation,""
4812,Nonscheduled Air Transportation,""
4821,Rail Transportation,""
4831,"Deep Sea, Coastal, and Great Lakes Water Transportation",""
4832,Inland Water Transportation,""
4841,General Freight Trucking,"This industry group comprises establishments primarily engaged in providing general freight trucking.  General freight trucking establishments handle a wide variety of commodities, generally palletized, and transported in a container or van trailer.  The establishments of this industry group provide a combination of the following network activities: local pick-up, local sorting and terminal operations, line-haul, destination sorting and terminal operations, and local delivery."
4842,Specialized Freight Trucking,"This industry group comprises establishments primarily engaged in providing local or long-distance specialized freight trucking.  The establishments of this industry are primarily engaged in the transportation of freight which, because of size, weight, shape, or other inherent characteristics, requires specialized equipment, such as flatbeds, tankers, or refrigerated trailers.  This industry includes the transportation of used household, institutional, and commercial furniture and equipment."
4851,Urban Transit Systems,""
4852,Interurban and Rural Bus Transportation,""
4853,Taxi and Limousine Service,This industry group comprises establishments primarily engaged in providing passenger transportation by automobile or van or providing an array of specialty and luxury passenger transportation services via limousine or luxury sedan generally on a reserved basis.  These establishments do not operate over regular routes and on regular schedules.
4854,School and Employee Bus Transportation,""
4855,Charter Bus Industry,""
4859,Other Transit and Ground Passenger Transportation,""
4861,Pipeline Transportation of Crude Oil,""
4862,Pipeline Transportation of Natural Gas,""
4869,Other Pipeline Transportation,This industry group comprises establishments primarily engaged in the pipeline transportation of products (except crude oil and natural gas).
4871,"Scenic and Sightseeing Transportation, Land",""
4872,"Scenic and Sightseeing Transportation, Water",""
4879,"Scenic and Sightseeing Transportation, Other",""
4881,Support Activities for Air Transportation,"This industry group comprises establishments primarily engaged in providing services to the air transportation industry.  These services include airport operation, servicing, repairing (except factory conversion and overhaul of aircraft), maintaining and storing aircraft, and ferrying aircraft."
4882,Support Activities for Rail Transportation,""
